Rank,Name,Country,Sector,Absolute Growth Rate,Compound Annual Growth Rate,Revenue 2017,Employees 2017,Founded,Revenue 2018,Revenue 2015,Employees 2018,Revenue 2019,Revenue 2016,Employees 2019,Employees 2016,Revenue 2020,Employees 2020,Revenue 2021,Employees 2021,Revenue 2022,Employees 2022,Year
1,Blue Motor Finance,United Kingdom,Financial Services,"51,364%",701.4%,61.4,155,1992,,,,,,,,,,,,,,2019
2,Deliveroo,United Kingdom,Food & Beverage,"15,749%",441.2%,316.1,1664,2013,,,,,,,,,,,,,,2019
3,Taxify,Estonia,Technology,"12,231%",397.7%,17.8,350,2013,,,,,,,,,,,,,,2019
4,Solectric,Germany,Technology,"7,772%",328.6%,40.9,30,2012,,,,,,,,,,,,,,2019
5,Psioxus Therapeutics,United Kingdom,Pharmaceuticals,"7,126%",316.5%,64.4,69,2006,,,,,,,,,,,,,,2019
6,Housekeep,United Kingdom,Technology,"6,100%",295.8%,7.3,25,2013,,,,,,,,,,,,,,2019
7,Crep Protect,United Kingdom,Fashion,"5,933%",292.2%,28.7,29,2014,,,,,,,,,,,,,,2019
8,Viajes Libratur (iTravex),Spain,Travel & Leisure,"5,741%",288.0%,43.7,62,2007,,,,,,,,,,,,,,2019
9,Darktrace,United Kingdom,Cyber Security,"4,829%",266.7%,36.1,618,2013,,,,,,,,,,,,,,2019
10,NBWM,Netherlands,Fintech,"4,652%",262.2%,6.7,30,2013,,,,,,,,,,,,,,2019
11,Bis Rénovation Energie,France,Construction,"4,400%",255.7%,13.5,80,2013,,,,,,,,,,,,,,2019
12,Donatella*,Germany,Food & Beverage,"4,186%",250.0%,7.5,10,2014,,,,,,,,,,,,,,2019
13,KUPELA,France,Food & Beverage,"3,987%",244.5%,7.4,5,2011,,,,,,,,,,,,,,2019
14,Jungle Creations,United Kingdom,Media,"3,863%",240.9%,11.7,110,2014,,,,,,,,,,,,,,2019
15,FIDUCIM,France,Property,"3,806%",239.3%,8.3,8,2013,,,,,,,,,,,,,,2019
16,InStaff & Jobs,Germany,Support Services,"3,485%",229.7%,5.1,22,2014,,,,,,,,,,,,,,2019
17,Eskimoz,France,Support Services,"3,429%",228.0%,6.0,60,2010,,,,,,,,,,,,,,2019
18,Tantal,Germany,Ecommerce,"3,168%",219.7%,11.8,45,2003,,,,,,,,,,,,,,2019
19,Buzzoole,Italy,Media,"3,104%",217.6%,4.4,65,2013,,,,,,,,,,,,,,2019
20,Framery,Finland,Interiors,"3,059%",216.1%,39.9,129,2010,,,,,,,,,,,,,,2019
21,Metacrew Group,Germany,Advertising,"2,882%",210.1%,14.0,52,2008,,,,,,,,,,,,,,2019
22,GF Genovate*,United Kingdom,Energy,"2,815%",207.8%,20.3,43,2014,,,,,,,,,,,,,,2019
23,TenderHut,Poland,Technology,"2,782%",206.6%,3.7,200,2010,,,,,,,,,,,,,,2019
24,AND Digital,United Kingdom,Technology,"2,756%",205.7%,20.9,234,2013,,,,,,,,,,,,,,2019
25,Perkbox,United Kingdom,Technology,"2,721%",204.4%,40.7,161,2010,,,,,,,,,,,,,,2019
26,Kolinpharma,Italy,Pharmaceuticals,"2,660%",202.2%,4.1,22,2013,,,,,,,,,,,,,,2019
27,Anteco Systems,Spain,Technology,"2,575%",199.1%,5.0,190,2014,,,,,,,,,,,,,,2019
28,Tooploox,Poland,Technology,"2,526%",197.2%,4.7,104,2012,,,,,,,,,,,,,,2019
29,Musement**,Italy,Travel & Leisure,"2,522%",197.1%,8.9,67,2013,,,,,,,,,,,,,,2019
30,DMS,Germany,Media,"2,436%",193.8%,14.4,18,2013,,,,,,,,,,,,,,2019
31,One Retail Group*,United Kingdom,Ecommerce,"2,342%",190.1%,16.4,12,2014,,,,,,,,,,,,,,2019
32,Unicoenergia,Italy,Energy,"2,334%",189.8%,3.1,15,2013,,,,,,,,,,,,,,2019
33,Byte London,United Kingdom,Advertising,"2,300%",188.5%,12.2,68,2013,,,,,,,,,,,,,,2019
34,Digidip,Germany,Sales & Marketing,"2,224%",185.4%,8.6,13,2013,,,,,,,,,,,,,,2019
35,Domator24.com,Poland,Personal & Household Goods,"2,204%",184.5%,7.6,20,2004,,,,,,,,,,,,,,2019
36,Adsmurai,Spain,Advertising,"2,201%",184.4%,24.8,54,2014,,,,,,,,,,,,,,2019
37,Sarcos Wind,Italy,Energy,"2,187%",183.9%,4.4,5,2013,,,,,,,,,,,,,,2019
38,Schuh Benner,Germany,Ecommerce,"2,173%",183.3%,25.0,10,2013,,,,,,,,,,,,,,2019
39,Habiteo,France,Property,"2,090%",179.8%,2.6,47,2014,,,,,,,,,,,,,,2019
40,Domalys,France,Health,"2,048%",178.0%,2.8,20,2013,,,,,,,,,,,,,,2019
